ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Name=\"Title\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" Group=\"_Hidden\" Type=\"Text\" DisplayName=\"Title\" Required=\"FALSE\" FromBaseType=\"TRUE\" DelayActivateTemplateBinding=\"GROUP,SPSPERS,SITEPAGEPUBLISHING\" Sealed=\"FALSE\" />","<Field Type=\"Text\" Name=\"OpportunityName\" DisplayName=\"Opportunity Name\" ID=\"{0cce085a-5781-4251-9ac0-10126f83097c}\" Group=\"\" Required=\"TRUE\" StaticName=\"OpportunityName\" />","<Field Type=\"Choice\" Name=\"Status\" DisplayName=\"Status\" ID=\"{004034df-df0a-42ac-9c00-3c236f5005dc}\" Group=\"\" Required=\"TRUE\" StaticName=\"Status\"><CHOICES><CHOICE>Active</CHOICE><CHOICE>At Risk</CHOICE><CHOICE>Critical</CHOICE></CHOICES></Field>","<Field Type=\"Text\" Name=\"OpportunityOwner\" DisplayName=\"Opportunity Owner\" ID=\"{21e20f56-9ecd-4e70-9cff-16f79a173285}\" Group=\"\" Required=\"FALSE\" StaticName=\"OpportunityOwner\" />","<Field Type=\"Choice\" Name=\"OpportunityStage\" DisplayName=\"Stage\" ID=\"{4bf96c2c-7ded-448d-9f7d-d86fa8769790}\" Group=\"\" Required=\"TRUE\" StaticName=\"OpportunityStage\"><CHOICES><CHOICE>Lead Qualification</CHOICE><CHOICE>Nurturing</CHOICE><CHOICE>Proposal</CHOICE><CHOICE>Negotiation</CHOICE><CHOICE>Project Execution</CHOICE><CHOICE>Closeout</CHOICE></CHOICES></Field>","<Field Type=\"Currency\" Name=\"Amount\" DisplayName=\"Opportunity Value\" ID=\"{ec27667e-0e4f-429c-ac35-cd23caefb49b}\" Group=\"\" Required=\"TRUE\" StaticName=\"Amount\" />","<Field Type=\"Choice\" Name=\"Probability\" DisplayName=\"Win Probability\" ID=\"{b75f9637-6eda-4bf6-a39b-724fbdcaaf93}\" Group=\"\" Required=\"TRUE\" StaticName=\"Probability\"><CHOICES><CHOICE>Low</CHOICE><CHOICE>Medium</CHOICE><CHOICE>High</CHOICE></CHOICES></Field>","<Field Type=\"DateTime\" Name=\"Close\" DisplayName=\"Expected Close Date\" ID=\"{35830093-1cbc-43ef-b971-b02932946fcf}\" Group=\"\" Required=\"TRUE\" StaticName=\"Close\" />","<Field Type=\"DateTime\" Name=\"NextMilestoneDate\" DisplayName=\"Next Deadline or Milestone\" ID=\"{e76d083d-3f08-47f8-b0c2-af3f6e249650}\" Group=\"\" Required=\"FALSE\" StaticName=\"NextMilestoneDate\" />","<Field Type=\"Text\" Name=\"NextMilestone\" DisplayName=\"Next Milestone\" ID=\"{663db9ae-4208-400c-9210-b6a4914ba215}\" Group=\"\" Required=\"FALSE\" StaticName=\"NextMilestone\" />","<Field Type=\"Choice\" Name=\"RecurringRevenueModel\" DisplayName=\"Recurring Revenue Model\" ID=\"{95a14b06-aaaf-4a89-8c94-7cbc4513f18b}\" Group=\"\" Required=\"FALSE\" StaticName=\"RecurringRevenueModel\"><CHOICES><CHOICE>Up Front</CHOICE><CHOICE>Annually</CHOICE><CHOICE>Quarterly</CHOICE><CHOICE>Monthly</CHOICE></CHOICES></Field>","<Field Type=\"Number\" Name=\"Recurrences\" DisplayName=\"Recurrences\" ID=\"{b5fb8826-604e-41e8-ac41-7d3912e5b3cc}\" Group=\"\" Required=\"FALSE\" StaticName=\"Recurrences\" />","<Field Type=\"DateTime\" Name=\"StartDate\" DisplayName=\"Start Date\" ID=\"{0d48b720-f355-4645-af4a-63732739437c}\" Group=\"\" Required=\"FALSE\" StaticName=\"StartDate\" />","<Field Type=\"Note\" DisplayName=\"Comment Log\" Name=\"CommentLog\" StaticName=\"CommentLog\" AppendOnly=\"TRUE\" RichText=\"FALSE\" NumLines=\"6\" UnlimitedLengthInDocumentLibrary=\"FALSE\" Required=\"FALSE\" ID=\"{52851f29-2de8-4c36-a6ca-430a4d2fbeb9}\" />","<Field ID=\"{c042a256-787d-4a6f-8a8a-cf6ab767f12d}\" Type=\"Computed\" DisplayName=\"Content Type\" Name=\"ContentType\" DisplaceOnUpgrade=\"TRUE\" RenderXMLUsingPattern=\"TRUE\" Sortable=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"ContentType\" Group=\"_Hidden\" PITarget=\"MicrosoftWindowsSharePointServices\" PIAttribute=\"ContentTypeID\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"ContentTypeId\" /></FieldRefs><DisplayPattern><MapToContentType><Column Name=\"ContentTypeId\" /></MapToContentType></DisplayPattern></Field>"]}
"Opportunity Name","Status","Opportunity Owner","Stage","Opportunity Value","Win Probability","Expected Close Date","Next Deadline or Milestone","Next Milestone","Recurring Revenue Model","Recurrences","Start Date","CustomerId","Comment Log"
"ERP Implementation Project","At Risk","John Manager","Lead Qualification","$908,380.00","Low","2026-08-27T15:09:16Z","2025-09-20T15:09:16Z","ROI Presentation",,,"2026-10-22T15:09:16Z","ACME Corporation","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=1"">View Entries</a>"
"Cloud Migration Initiative","At Risk","Jennifer PM","Lead Qualification","$1,096,559.00","High","2026-04-10T15:09:18Z","2025-09-30T15:09:18Z","Implementation Planning",,,"2026-06-27T15:09:18Z","Food Service Partners","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=2"">View Entries</a>"
"Security Assessment & Audit","At Risk","Lisa Engineer","Nurturing","$1,433,298.00","Low","2026-05-29T15:09:20Z","2025-09-29T15:09:20Z","Site Survey",,,"2026-07-31T15:09:20Z","Telecommunications Inc","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=3"">View Entries</a>"
"Manufacturing Automation System","Active","Robert Analyst","Proposal","$649,701.00","Low","2026-06-24T15:09:23Z","2025-08-24T15:09:23Z","Proof of Concept",,,"2026-09-19T15:09:23Z","Security Solutions","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=4"">View Entries</a>"
"Healthcare Data Analytics Platform","Active","Lisa Engineer","Project Execution","$1,191,206.00","Low","2026-01-20T16:09:26Z","2025-08-20T15:09:26Z","Requirements Analysis",,,"2026-03-10T15:09:26Z","Global Industries","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=5"">View Entries</a>"
"Digital Transformation Project","Active","John Manager","Negotiation","$990,593.00","Low","2025-10-13T15:09:28Z","2025-09-08T15:09:28Z","Technical Review",,,"2025-12-21T16:09:28Z","ACME Corporation","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=6"">View Entries</a>"
"Network Infrastructure Upgrade","Active","Robert Analyst","Proposal","$1,166,392.00","Medium","2026-02-02T16:09:29Z","2025-09-19T15:09:29Z","Proof of Concept",,,"2026-02-16T16:09:29Z","Pharmaceutical Research","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=7"">View Entries</a>"
"Business Intelligence Solution","Active","Robert Analyst","Closeout","$666,331.00","Medium","2026-01-14T16:09:31Z","2025-09-17T15:09:31Z","Technical Review",,,"2026-04-11T15:09:31Z","Real Estate Ventures","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=8"">View Entries</a>"
"Customer Portal Development","At Risk","Mike Consultant","Closeout","$1,095,721.00","Medium","2026-10-26T15:09:33Z","2025-09-21T15:09:33Z","Technical Review",,,"2026-12-02T16:09:33Z","Textile Manufacturing","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=9"">View Entries</a>"
"Mobile Application Development","Active","Maria Coordinator","Lead Qualification","$1,461,926.00","High","2026-04-27T15:09:35Z","2025-08-17T15:09:35Z","Contract Finalization",,,"2026-05-06T15:09:35Z","Publishing House","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=10"">View Entries</a>"
"Data Center Consolidation","Active","Amanda Sales","Negotiation","$1,315,150.00","Low","2026-07-01T15:09:37Z","2025-09-24T15:09:37Z","Contract Finalization",,,"2026-07-21T15:09:37Z","Transport Logistics","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=11"">View Entries</a>"
