ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Name=\"Title\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" Group=\"_Hidden\" Type=\"Text\" DisplayName=\"Title\" Required=\"FALSE\" FromBaseType=\"TRUE\" DelayActivateTemplateBinding=\"GROUP,SPSPERS,SITEPAGEPUBLISHING\" Sealed=\"FALSE\" />","<Field Type=\"Text\" Name=\"OpportunityName\" DisplayName=\"Opportunity Name\" ID=\"{f7ece28f-4da8-45bc-bf27-a3361d4250a9}\" Group=\"\" Required=\"TRUE\" StaticName=\"OpportunityName\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Choice\" Name=\"Status\" DisplayName=\"Status\" ID=\"{e81c1acf-6bb9-4d2a-a8c5-dd92d4d248ec}\" Group=\"\" Required=\"TRUE\" StaticName=\"Status\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\"><CHOICES><CHOICE>Active</CHOICE><CHOICE>At Risk</CHOICE><CHOICE>Critical</CHOICE><CHOICE>Dormant</CHOICE></CHOICES></Field>","<Field Type=\"Text\" Name=\"OpportunityOwner\" DisplayName=\"Opportunity Owner\" ID=\"{595f2dd5-90ae-4731-9fdd-7ab0fc681082}\" Group=\"\" Required=\"FALSE\" StaticName=\"OpportunityOwner\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Choice\" Name=\"OpportunityStage\" DisplayName=\"Stage\" ID=\"{13341820-08e0-4c86-ba54-0c492fb8c249}\" Group=\"\" Required=\"TRUE\" StaticName=\"OpportunityStage\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\"><CHOICES><CHOICE>Lead Qualification</CHOICE><CHOICE>Nurturing</CHOICE><CHOICE>Proposal</CHOICE><CHOICE>Negotiation</CHOICE><CHOICE>Project Execution</CHOICE><CHOICE>Closeout</CHOICE></CHOICES></Field>","<Field Type=\"Currency\" Name=\"Amount\" DisplayName=\"Opportunity Value\" ID=\"{11600920-2cc7-4bca-a516-4b53bcb04f75}\" Group=\"\" Required=\"TRUE\" StaticName=\"Amount\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Choice\" Name=\"Probability\" DisplayName=\"Win Probability\" ID=\"{95421b0a-e330-4b40-b436-9a38c064d170}\" Group=\"\" Required=\"TRUE\" StaticName=\"Probability\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\"><CHOICES><CHOICE>Low</CHOICE><CHOICE>Medium</CHOICE><CHOICE>High</CHOICE></CHOICES></Field>","<Field Type=\"DateTime\" Name=\"Close\" DisplayName=\"Expected Close Date\" ID=\"{e70cdd39-ba79-478f-ae2a-d3bec2b03df1}\" Group=\"\" Required=\"TRUE\" StaticName=\"Close\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"DateTime\" Name=\"NextMilestoneDate\" DisplayName=\"Next Deadline or Milestone\" ID=\"{54a7b6a4-35c5-428c-a8a5-ebfca8ffef65}\" Group=\"\" Required=\"FALSE\" StaticName=\"NextMilestoneDate\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Text\" Name=\"NextMilestone\" DisplayName=\"Next Milestone\" ID=\"{88ca503f-920e-4fcd-a271-c40ed0fd1cde}\" Group=\"\" Required=\"FALSE\" StaticName=\"NextMilestone\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Recurring Revenue Model\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"RecurringRevenueModel\" Title=\"Recurring Revenue Model\" Type=\"Choice\" ID=\"{cb033170-92c9-45bd-a42e-5ca97da89807}\" StaticName=\"RecurringRevenueModel\" Hidden=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\"><CHOICES><CHOICE>One-time</CHOICE><CHOICE>Annually</CHOICE><CHOICE>Semi-Annually</CHOICE><CHOICE>Quarterly</CHOICE><CHOICE>Monthly</CHOICE></CHOICES></Field>","<Field Type=\"Number\" Name=\"Recurrences\" DisplayName=\"Recurrences\" ID=\"{a15dc937-855e-4959-bd7d-9245454c41c5}\" Group=\"\" Required=\"FALSE\" StaticName=\"Recurrences\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"DateTime\" Name=\"StartDate\" DisplayName=\"Start Date\" ID=\"{4e94099d-a0f6-4ca6-9932-6fb27ee88b07}\" Group=\"\" Required=\"FALSE\" StaticName=\"StartDate\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Note\" DisplayName=\"Comment Log\" Name=\"CommentLog\" StaticName=\"CommentLog\" AppendOnly=\"TRUE\" RichText=\"FALSE\" NumLines=\"6\" UnlimitedLengthInDocumentLibrary=\"FALSE\" Required=\"FALSE\" ID=\"{19d08f01-e78e-4a6f-9a71-eda3e9135e58}\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field ID=\"{c042a256-787d-4a6f-8a8a-cf6ab767f12d}\" Type=\"Computed\" DisplayName=\"Content Type\" Name=\"ContentType\" DisplaceOnUpgrade=\"TRUE\" RenderXMLUsingPattern=\"TRUE\" Sortable=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"ContentType\" Group=\"_Hidden\" PITarget=\"MicrosoftWindowsSharePointServices\" PIAttribute=\"ContentTypeID\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"ContentTypeId\" /></FieldRefs><DisplayPattern><MapToContentType><Column Name=\"ContentTypeId\" /></MapToContentType></DisplayPattern></Field>"]}
"Opportunity Name","Status","Opportunity Owner","Stage","Opportunity Value","Win Probability","Expected Close Date","Next Deadline or Milestone","Next Milestone","Recurring Revenue Model","Recurrences","Start Date","Customer"
"ERP Implementation Project","Active","Amanda Sales","Lead Qualification","$1,488,043.00","Low","2026-05-15T19:49:30Z","2025-08-29T19:49:30Z","Implementation Planning","Annually","6","2026-06-17T19:49:30Z","Agricultural Systems"
"Cloud Migration Initiative","Active","Robert Analyst","Proposal","$1,781,938.00","Medium","2025-11-14T20:49:32Z","2025-09-04T19:49:32Z","Proof of Concept","Monthly","43","2025-12-17T20:49:32Z","Education First"
"Security Assessment & Audit","Active","David Specialist","Nurturing","$1,153,725.00","Medium","2026-09-01T19:49:00Z","2025-09-25T19:49:34Z","Technical Review","One-time","1","2026-12-08T08:00:00Z","Real Estate Ventures"
"Manufacturing Automation System","Active","Robert Analyst","Lead Qualification","$744,799.00","Medium","2026-07-13T19:49:00Z","2025-08-25T19:49:36Z","Proposal Review","Annually","6","2026-09-28T19:49:00Z","Food Service Partners"
"Healthcare Data Analytics Platform","Active","Amanda Sales","Proposal","$1,248,522.00","Medium","2026-11-26T20:49:38Z","2025-08-26T19:49:38Z","Proof of Concept","Semi-Annually","6","2027-02-23T20:49:38Z","Food Service Partners"
"Digital Transformation Project","Active","Robert Analyst","Project Execution","$826,105.00","Medium","2026-04-28T19:49:40Z","2025-08-29T19:49:40Z","Budget Approval","Semi-Annually","11","2026-06-26T19:49:40Z","Professional Services Group"
"Network Infrastructure Upgrade","Active","Dr. Tech Advisor","Project Execution","$1,002,514.00","Medium","2026-11-04T20:49:42Z","2025-08-19T19:49:42Z","Proof of Concept","Quarterly","12","2027-01-26T20:49:42Z","Media Communications"
"Business Intelligence Solution","Active","Sarah Director","Closeout","$1,003,602.00","Medium","2024-09-02T19:49:00Z","2025-08-28T19:49:44Z","Technical Review","Semi-Annually","8","2024-12-02T20:49:00Z","Professional Services Group"
"Customer Portal Development","At Risk","Lisa Engineer","Lead Qualification","$1,310,673.00","Low","2026-04-27T19:49:46Z","2025-10-01T19:49:46Z","Stakeholder Meeting","Annually","7","2026-07-19T19:49:46Z","Publishing House"
"Mobile Application Development","Active","Amanda Sales","Nurturing","$1,085,176.00","Medium","2026-02-10T20:49:47Z","2025-09-28T19:49:47Z","Stakeholder Meeting","One-time","1","2025-07-01T07:00:00Z","Consulting Experts"
"Data Center Consolidation","At Risk","David Specialist","Negotiation","$2,017,080.00","High","2026-10-23T19:49:49Z","2025-09-23T19:49:49Z","Stakeholder Meeting","Quarterly","16","2027-01-13T20:49:49Z","Tech Solutions Inc"
"Cybersecurity Enhancement","Active","Dr. Tech Advisor","Project Execution","$1,087,125.00","Medium","2026-07-23T19:49:51Z","2025-09-10T19:49:51Z","Proposal Review","Annually","8","2026-10-18T19:49:51Z","Insurance Specialists"
"E-commerce Platform","Active","Lisa Engineer","Negotiation","$1,236,637.00","Medium","2026-08-12T19:49:00Z","2025-10-09T19:49:00Z","Requirements Analysis","Monthly","49","2026-10-22T19:49:00Z","Global Industries"
"Document Management System","Active","John Manager","Lead Qualification","$1,061,325.00","Medium","2026-07-01T19:49:55Z","2025-08-23T19:49:55Z","Requirements Analysis","Annually","3","2026-08-01T19:49:55Z","Global Industries"
"Training & Development Program","Active","Sarah Director","Project Execution","$1,525,787.00","High","2026-12-21T20:49:00Z","2025-09-13T19:49:00Z","Proof of Concept","Monthly","47","2027-01-07T20:49:00Z","Security Solutions"
"Quality Management System","At Risk","John Manager","Proposal","$945,284.00","Medium","2026-02-06T20:49:59Z","2025-10-03T19:49:59Z","Site Survey","Quarterly","8","2026-04-11T19:49:59Z","Environmental Services"
"Supply Chain Optimization","Active","Jennifer PM","Negotiation","$1,668,102.00","Low","2025-10-27T19:50:00Z","2025-09-25T19:50:01Z","Technical Review","Monthly","36","2025-12-09T08:00:00Z","Hotel Management Group"
"Financial Planning Software","Active","Dr. Tech Advisor","Lead Qualification","$2,218,128.00","Medium","2026-05-11T19:50:03Z","2025-09-26T19:50:03Z","ROI Presentation","Semi-Annually","10","2026-07-28T19:50:03Z","Construction Dynamics"
"HR Management System","Active","Maria Coordinator","Negotiation","$890,632.00","High","2025-10-13T19:50:04Z","2025-08-17T19:50:04Z","Budget Approval","One-time","1","2026-01-01T20:50:04Z","Sports & Recreation"
"Marketing Automation Platform","Critical","Amanda Sales","Proposal","$1,161,426.00","Low","2025-12-25T20:50:06Z","2025-08-21T19:50:06Z","Budget Approval","Annually","5","2026-03-25T19:50:06Z","Telecommunications Inc"
"CRM System Upgrade","Active","Jennifer PM","Closeout","$1,002,288.00","High","2023-04-01T19:50:00Z","2025-10-09T19:50:09Z","Implementation Planning","Semi-Annually","7","2023-06-01T19:50:00Z","ACME Corporation"
"Inventory Management Solution","Active","Sarah Director","Nurturing","$1,524,787.00","High","2026-05-25T19:50:11Z","2025-09-28T19:50:11Z","Site Survey","Monthly","52","2026-08-11T19:50:11Z","Transport Logistics"
"Point of Sale System","Critical","David Specialist","Negotiation","$1,136,222.00","Low","2025-09-09T19:50:12Z","2025-09-23T19:50:12Z","Stakeholder Meeting","Semi-Annually","9","2025-11-20T20:50:12Z","Transport Logistics"
"Compliance Management Tool","Active","Dr. Tech Advisor","Nurturing","$994,882.00","Low","2026-12-21T20:50:00Z","2025-09-07T19:50:14Z","Contract Finalization","Annually","6","2027-04-05T19:50:00Z","Mining Operations"
"Project Management Software","Active","Amanda Sales","Lead Qualification","$1,052,288.00","Medium","2026-12-24T20:50:16Z","2025-09-19T19:50:16Z","Proof of Concept","Quarterly","15","2027-02-09T20:50:16Z","Media Communications"
"Video Conferencing Solution","Active","Mike Consultant","Negotiation","$816,454.00","Medium","2025-08-26T19:50:18Z","2024-09-26T19:50:00Z","ROI Presentation","Monthly","36","2026-10-01T19:50:00Z","ACME Corporation"
"Backup & Recovery System","Active","Amanda Sales","Lead Qualification","$1,666,344.00","Medium","2026-06-12T19:50:19Z","2025-09-04T19:50:19Z","Proposal Review","Quarterly","18","2026-08-17T19:50:19Z","Global Industries"
"Website Redesign Project","Active","Lisa Engineer","Lead Qualification","$1,213,430.00","Medium","2026-10-30T19:50:21Z","2025-08-28T19:50:21Z","Stakeholder Meeting","Quarterly","15","2026-11-16T20:50:21Z","ACME Corporation"
"Social Media Management Tool","Active","Maria Coordinator","Project Execution","$1,805,761.00","Medium","2024-11-18T20:50:00Z","2025-09-08T19:50:23Z","Budget Approval","Annually","6","2026-05-08T19:50:23Z","Education First"
"Customer Service Platform","Active","Maria Coordinator","Nurturing","$1,172,164.00","Medium","2026-07-30T19:50:25Z","2025-09-17T19:50:25Z","Technical Review","Annually","8","2026-10-21T19:50:25Z","ACME Corporation"
"Fleet Management System","At Risk","Amanda Sales","Negotiation","$768,865.00","Low","2026-03-18T19:50:27Z","2025-09-23T19:50:27Z","Stakeholder Meeting","Semi-Annually","8","2026-05-22T19:50:27Z","Pharmaceutical Research"
"Environmental Monitoring Solution","Active","Jennifer PM","Proposal","$695,461.00","Low","2025-09-04T19:50:29Z","2025-10-05T19:50:29Z","Stakeholder Meeting","Annually","7","2025-10-23T19:50:29Z","Waste Management Co"
"Safety Management System","Active","Dr. Tech Advisor","Proposal","$1,958,261.00","Medium","2025-10-24T19:50:31Z","2025-08-19T19:50:31Z","Proof of Concept","Annually","3","2025-12-22T20:50:31Z","Tech Solutions Inc"
"Performance Analytics Dashboard","Active","Maria Coordinator","Nurturing","$800,336.00","High","2026-06-19T19:50:33Z","2025-09-23T19:50:33Z","Requirements Analysis","One-time","1","2026-09-01T19:50:33Z","Chemical Processing"
